Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-CM-532,Catharijnesingel / Smakkelaarsveld,52.08425,5.1115,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-580,Bollendak uitgang CS,52.09092,5.11133,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-783,Voortrekkersdreef,52.12016,5.111323,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-OOR-003,Catharijnesingel - Smakkelaarsveld,52.09301,5.111082,Vast,01/07/2020,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-PAR-921,Winthontlaan,52.05953,5.11097,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-CM-581,Bollendank ingang HC,52.09073,5.11066,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-528,Stationsplein / thv Van Sijpesteijntunnel,52.09211,5.11060,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-203,Croeselaan 235,52.08269,5.11058,Vast,,,Gemeente Utrecht,,Handhaving,Milieuzone
UTR-SB-130,Smakkelaarsveld,52.09249,5.10996,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Smakkelaarsveld
UTR-CM-550,Daalsesingel / Knipstraat,52.09423,5.10994,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-PAR-925,Eendrachtlaan/Beneluxlaan,52.06690,5.109775,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-PAR-922,Eendrachtlaan Overijssellaan,52.06208,5.109768,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-OOR-005,Amsterdamse straatweg - Daalsesingel,52.09498,5.109468,Vast,01/07/2020,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-OOR-004,Amsterdamsestraatweg - Weerdsingel Westzijde,52.09552,5.109379,Vast,01/07/2020,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-VTH-202,Amsterdamsestraatweg,52.09573,5.1089,Vast,,,Gemeente Utrecht,,Handhaving,Milieuzone
UTR-SB-139,Liesbosch / Noordersluis,52.05501,5.10871,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: Liesboschbrug
UTR-CM-561,Plateau Mineurslaan,52.08809,5.10863,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-PAR-931,Noordersluis/Liesboschbrug,52.05498,5.108378,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-CM-756,ASW thv 17 / Berkstraat,52.09602,5.10818,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-PAR-924,Vliegend hertlaan/Europalaan,52.06544,5.108102,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-CM-531,Jaarbeursplein,52.08883,5.10794,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
